"pending","Pendiente"
"complete","Completado"
"Send date","Fecha de envio"
"Send Date","Fecha de envio"
"List","Lista"
"Status Order","Estado de orden"
"Not sent","No enviado"
"Sent","Enviado"
"Cancelled","Cancelado"
"Send","Enviar"
"Send the order","Enviar el pedido"
"Are you sure you want to send these orders?","¿Estás segura de que quieres enviar estos pedidos?"
"Cancel","Cancelar"
"Cancel shipments","Cancelar envios"
"Are you sure you want to cancel these shipments?","¿Estás segura de que deseas cancelar estos envíos?"
"This information does not exist.","Esta información no existe."
"General information","Información General"
"View Log Sent","Ver log de envio"
"View Log Cancel","Ver log de cancelar"
"See data","Ver datos"
"Shipping by Glovo","Envio por Glovo"
"Date of delivery","Fecha de entrega"
"The order has not been shipped yet.","Aun no se envia el pedido."
"Glovo was not used for this order.","No se utilizo glovo para este pedido."
"to","a"
"away","de distancia"
"arrives in approx","llega en aprox"
"Enabled","Habilitado"
"Name","Nombre"
"Title","Titulo"
"Cost of delivery","Costo del envio"
"Free","Gratis"
"API Glovo calculated cost","Costo calculado API Glovo"
"Based on a fixed price","Basado en un precio fijo"
"Price","Precio"
"Order Status Configuration","Configuración de Estado del Pedido"
"Configure when the glovo order should be created in conjunction with your logistics <br> By default Glovo is requested when the order goes to a <b> Completed </b> state. If you want to change the state in which the Glovo will be requested, select the state in the State option to generate Glovo.","Configure cuando debe crearse el pedido de glovo en conjunto con su logistica<br>Por defecto el Glovo se pide cuando el pedido pasa a estado <b>Completado</b>. Si desea cambiar el estado en que se pedira el Glovo, seleccione el estado en la opcion Estado para generar Glovo."
"Status to generate Glovo","Estado para generar Glovo"
"Change Status","Cambiar estado",
"New state","Nuevo estado"
"Trade / Contact and hours","Comercio / Contacto y horarios"
"Contact name","Nombre contacto"
"Contact phone","Telefono contacto"
"Address","Direccion"
"Reference","Referencia"
"City code","Codigo de la ciudad"
"Access the following Glovo page <a href=""https://glovoapp.com/en""> https://glovoapp.com/en </a>. Search and select your city, then write the last letters of the url like this: https://glovoapp.com/en/<b>LIM</b>/","Acceda a la siguiente pagina de Glovo <a href=""https://glovoapp.com/en"">https://glovoapp.com/es</a>. Busque y seleccione su ciudad, luego escrbia las ultimas letras del url asi : https://glovoapp.com/es/<b>LIM</b>/"
"Latitude","Latitud"
"Longitude","Longitud"
"Holidays","Días feriados"
"Work days","Días de trabajo"
"This link can be useful <a target=""_blank"" href=""https://www.latlong.net/""> https://www.latlong.net </a>. Search your location and you will get the latitude and longitude","Este link le puede ser de utilidad <a target=""_blank"" href=""https://www.latlong.net/"">https://www.latlong.net</a>. Busque su ubicacion y obtendra la latitud y longitud"
"Add","Agregar"
"Day","Dia"
"Start Time","Hora de inicio"
"End Time","Hora de finalización"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miercoles"
"Thursday","Jueves"
"Friday","Viernes"
"Saturday","Sabado"
"Sunday","Domingo"
"Day","Dia"
"Month","Mes"
"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Setiembre"
"October","Octubre"
"November","Noviembre"
"December","Diciembre"
"Settings Google Maps","Configuracion Google Maps"
